Title,Year,Casey,Dana,Brett,Brian,Dave,Jeff,Devin,Mark,RyRy,Eric,Hans,Susan,Jason,Julie,Brady,Lucy,Bryan,Owen
The Big Short,2015,7,8,5,5,6,.,6,7.5,.,6.5,.,.,.,.,.,.,9,.
The Gift,2015,7,7.5,.,.,.,.,6,.,.,.,.,.,.,.,7.5,.,.,.
The Martian,2015,7.5,8,8,7,7,7,8,8,.,7,8,.,7,.,8,7.5,9,8
The Revenant,2015,9.5,8.5,8.5,8.5,8.5,9,8,.,.,8,7.5,.,9,.,9,.,7,.
10 Cloverfield Lane,2016,8.5,7,8,8,9,8.5,8,.,.,.,.,.,.,.,8,.,.,.
13 Hours,2016,6,.,5,6,.,7,.,7,.,.,8,.,.,.,.,.,.,.
Arrival,2016,8,7,8,8.5,8.5,8,8,8,.,7.5,9,.,.,.,7.5,.,.,.
Barbershop: The Next Cut,2016,7.5,6.5,7.5,8,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.
BFG,2016,4.5,4,.,.,.,6,.,.,6,.,.,.,.,.,6.5,.,.,.
Captain America Civil War,2016,.,.,8,8.5,.,7.5,7,.,6,.,.,.,.,.,6.5,.,.,.
Captain Fantastic,2016,7.5,7.5,.,7,.,.,6,.,4,.,7.5,.,.,.,.,.,.,.
Colossal,2016,5,7,6.5,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.
Deadpool,2016,6,6,7.5,8,7,7.5,8,6,9,6,8.5,7.5,.,.,8.5,.,.,.
Deepwater Horizon,2016,6.5,5,7,8.5,.,.,.,7,.,.,.,.,.,.,.,.,7,.
Doctor Strange,2016,4.5,3,4,5,.,6.5,7.5,.,7,.,.,4,7,.,7,.,.,.
Hacksaw Ridge,2016,3,5,4,5,.,7,.,.,.,.,.,.,.,.,7,.,.,.
Hail Caesar!,2016,5,5,4,3,.,.,4,.,.,.,.,.,.,.,7,.,.,.
Hell or High Water,2016,9.5,7,8.5,9.5,9.5,9.5,8,.,.,.,7.5,.,.,.,8,.,.,.
Hidden Figures,2016,7,8,8,8.5,8.5,7.5,8,8,7,.,8.5,.,.,.,7.5,.,.,.
Hunt for the Wilderpeople,2016,7.5,8.5,6.5,.,6,7,7.5,.,8,.,9,.,.,.,9,.,6,.
Jungle Book,2016,7,.,7,7,7,7,.,7,5,6,.,.,.,.,7,.,.,.
La La Land,2016,7,8,8.5,8,8,.,8,8,.,.,.,8,.,.,7,.,8.5,.
Lion,2016,9,9,8.5,8,.,9.5,7.5,8.5,8,7.5,8,9,.,.,.,.,.,.
Lost City of Z,2016,8,7.5,.,.,.,7,8.5,.,.,.,.,.,.,.,6,.,.,.
Love & Friendship,2016,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Loving,2016,7.5,6.5,.,.,.,.,.,.,.,.,.,7.5,.,.,.,.,.,.
Manchester by the Sea,2016,7,7.5,7.5,7.5,9,8,7,.,.,.,.,7,.,.,.,.,.,.
Midnight Special,2016,5,6,5,6,6.5,.,6,.,.,.,.,.,.,.,.,.,.,.
Miss Sloane,2016,.,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.
Moana,2016,5.5,6.5,5.5,7.5,.,8,8,7.5,9,7.5,8,.,8,.,7,7,.,6
Moonlight,2016,5,6.5,7,7.5,8,.,7.5,.,.,.,.,7,.,.,.,.,10,.
Pete's Dragon,2016,1,1,.,.,.,4,4,4.5,.,4.5,5,.,.,.,.,.,.,.
Popstar: Never Stop,2016,5,6,4.5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
Silence,2016,7,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sing,2016,2,2,.,.,.,1,2,4,4,.,4.5,.,.,.,.,.,.,.
Sing Street,2016,9.5,10,9.5,9.5,9,.,10,10,8,9,9,9,7.5,.,9,8.5,.,8
Snowden,2016,7.5,.,.,.,.,.,.,8.5,.,7,.,.,.,.,.,.,.,.
Split,2016,8,7.5,8,8.5,8,7.5,.,6,.,.,.,.,7,.,7.5,.,6,.
Suicide Squad,2016,.,.,3,4,.,3,3,.,.,.,.,.,.,.,4.5,.,.,.
Sully,2016,7,7,7,5,.,7,6,6,.,.,.,.,7,.,.,.,8,.
Star Wars: Rogue One,2016,8,7,5.5,8,7,7,7,7,8,6,7,6,7,.,9,.,9,.
Swiss Army Man,2016,6.5,7,.,7.5,.,.,7,.,7,.,.,.,.,.,8.5,.,.,.
The Accountant,2016,.,.,.,5,.,7,5,.,5,4,.,.,.,.,.,.,.,.
The Belko Experiment,2016,.,.,6,.,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.
The Founder,2016,8.5,8.5,8,8,.,8,7,8,.,.,.,.,7.5,.,.,.,8,.
The Infiltrator,2016,7.5,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Red Turtle,2016,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Tower,2016,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Trolls,2016,7,8,.,.,.,6,7,7.5,8,5.5,5.5,.,.,.,.,.,.,.
Zootopia,2016,4,6,5,.,.,4,7,5,9,3.5,.,.,.,.,.,6,.,.
47 Meters Down,2017,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.
