Title,Year,Casey,Dana,Brett,Brian,Dave,Jeff,Devin,Mark,RyRy,Eric,Hans,Susan,Jason,Julie,Brady,Lucy,Bryan,Owen
The Rider,2018,7.5,7.5,.,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Ghostbusters,2016,4,.,.,.,.,6,5,.,6,.,.,6,.,.,.,.,.,.
Pacific Rim,2013,.,.,6.5,7.5,7,5,6,7.5,.,3.5,.,.,.,.,4,.,.,.
Action Point,2018,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.
Fantastic Beasts and Where to Find Them,2016,.,.,.,.,.,7,6,.,7,7,.,.,.,.,7.5,.,.,.
Black Mirror: Bandersnatch,2018,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,7,.
The Tree of Life,2011,7.5,.,7,8.5,.,.,8.5,.,8,9.5,.,.,.,.,.,.,.,.
Glass,2019,6.5,.,6,7.5,.,.,.,5.5,.,.,.,.,8.5,10,8,.,.,.
On the Basis of Sex,2018,7,7,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.
20th Century Women,2016,8.5,8.5,9,10,10,no,9,.,7,.,8,.,.,.,.,.,.,.
The Ballad of Buster Scruggs,2018,7.5,.,7.5,7,7.5,8,8,.,8,.,.,.,.,.,.,.,.,.
RBG,2018,9,8,.,8,.,.,7,.,.,.,.,9,.,.,.,.,9,.
Sicario: Day of the Soldado,2018,7,.,7,.,.,7,6.5,7,.,.,.,.,.,.,6.5,.,8,.
Serenity,2018,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Grey,2011,8,8,8.5,9.5,.,7,8,9,7,7.5,8,.,.,.,8,.,7.5,.
Captain Phillips,2013,8,7,7.5,8.5,8,7.5,7,.,.,.,.,.,.,.,.,.,8,.
The Social Network,2010,9,9,10,10,9,9,9,9,6,8,.,9,.,.,.,.,10,.
"Oh Brother, Where Art Thou?",2000,7,.,7.5,7.5,9,10,9,7.5,8,7,6.5,8,9.5,.,8.5,.,.,.
Arctic,2018,8,8.5,8,.,.,7.5,.,.,.,8,.,.,.,.,.,.,.,.
Mandy,2018,.,.,.,.,9,.,.,.,.,8.75,.,.,.,.,.,.,.,.
Suspiria (2018),2018,.,.,.,.,9,.,8,.,.,.,.,.,.,.,.,.,.,.
The LEGO Movie 2: The Second Part,2019,.,.,.,7,.,7.5,.,5,7,.,.,.,.,.,4,.,.,.
Cold Pursuit,2019,3.5,4,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.
Once Upon a Deadpool,2018,.,.,.,.,.,.,.,7,.,5.5,.,.,.,.,.,.,.,.
White Boy Rick,2018,4.5,6.5,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
True Grit,2010,7.5,.,7,7,7,8.5,7,7,8,.,7.5,.,.,.,7.5,.,8,.
Crazy Heart,2009,8,.,8,8,10,.,9,.,.,.,.,.,.,.,.,.,.,.
The One I Love,2014,.,.,7.5,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Happy Death Day,2017,.,.,7.5,.,7.5,.,.,.,.,.,.,.,.,.,5.5,.,.,.
Happy Death Day 2U,2019,.,.,6.5,.,7,.,.,.,.,.,.,.,.,.,5,.,.,.
The Hurt Locker,2008,8,.,8,7.5,8.5,7.5,8,.,.,.,9.5,.,.,.,.,.,8,.
Black Swan,2010,9,.,9,9,8,.,8.5,.,.,.,.,8,.,.,9,.,.,.
Office Space,1999,9,.,9.5,8,9,8,9,9,9,8.5,8,.,.,.,8,.,.,.
A Ghost Story,2017,.,.,7.5,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Fighting with My Family,2019,6,.,8,.,8,7,.,.,.,.,.,.,.,.,.,.,.,.
Isn’t it Romantic,2019,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Apollo 11,2019,9.5,8.5,10,10,10,8.5,10,.,10,.,.,.,.,.,.,.,.,.
Captain Marvel,2019,5,.,5.5,.,.,7.5,6,5,6,.,.,5.5,.,.,7.5,.,.,.
The Catcher Was a Spy,2018,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.
Triple Frontier,2019,.,.,7,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.
Us,2019,5,5,6,6.5,6.5,.,.,.,.,.,.,.,.,.,7,.,.,.
Alita: Battle Angel,2019,7,.,6.5,.,.,7,.,8.5,.,.,.,.,.,.,.,.,.,.
The Wife,2018,8,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Shazam!,2019,7,8.5,7.5,8.5,7,6.5,8,.,7,.,.,.,.,.,.,.,.,.
High Life,2019,2,3,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Dumbo,2019,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Wakefield,2017,7,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.
Family,2018,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hellboy,2019,.,.,3.5,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.
Teen Spirit,2018,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Avengers: Endgame,2019,8,.,8.5,8,8,8.5,8,8,8,.,.,.,.,.,8.5,.,.,.
Long Shot,2019,7,.,7.5,7,7.5,.,.,.,.,.,.,.,.,.,.,.,9,.
John Wick 3,2019,8.5,.,8.5,8.5,8,.,7.5,9,9,.,7,.,.,.,7,.,.,.
Stan & Ollie,2018,7,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.
The Upside,2017,.,.,.,.,.,7,.,.,8,.,.,.,.,.,.,.,.,.
Aladdin,2019,7.5,7.5,6,6,.,6.5,5,.,8,7,.,.,.,.,.,7.5,8,8
Rocketman,2019,6.5,7,6,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Vice,2018,.,.,.,.,3,.,4.5,5,.,6,.,.,.,.,.,.,.,.
Vox Lux,2018,.,.,7.5,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
American Woman,2018,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Booksmart,2019,.,.,7.5,.,.,.,5.5,.,.,.,.,.,.,.,.,.,.,.
Late Night,2019,5.5,5.5,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MIB International,2019,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.
Murder Mystery,2019,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.
Always Be My Maybe,2019,.,.,7,.,.,6.5,.,7.5,7,.,.,.,.,.,.,.,.,.
The Highwaymen,2019,7,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.
The Last Black Man in San Francisco,2019,.,.,6.5,.,8,7.5,.,.,.,.,.,.,.,.,.,.,.,.
Toy Story 4,2019,5,8.5,8,8,.,7.5,7,6,8,6.5,.,.,.,.,7.5,.,.,5
Yesterday,2019,6,6.5,5,.,6.5,7,.,7,8,.,.,.,.,.,8.5,.,.,.
Spiderman: Far From Home,2019,7,.,7.5,.,7,6.5,6,.,6,5,.,.,.,.,7,.,.,.
The Art of Self-Defense,2019,6,7,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Midsommar,2019,.,.,8.5,9,8.5,.,8,.,.,.,.,.,.,.,6,.,7,.
The Farewell,2019,8,8.5,8.5,.,8,7.5,.,.,.,.,.,.,.,.,.,.,.,.
Apocalypto,2006,9.5,8.5,9,8.5,.,8,8,9,7,7.5,.,.,.,.,9.5,no,.,no
Lion King,2019,8.5,8,7.5,.,.,7,7,7,7,7.5,.,.,7.5,.,.,7,8,7.5
Kung Pow! Enter the Fist,2002,.,.,.,.,7,.,.,8.5,.,9,.,.,.,.,8,.,.,.
Bob Lazar: Area 51 & Flying Saucers,2018,.,.,.,.,.,.,.,5,.,5.5,.,.,.,.,.,.,.,.
Inglourious Basterds,2009,8,.,9,10,9,9.5,9,.,9,8,8,.,8.5,.,8,.,.,.
Once Upon a Time... in Hollywood,2019,8,7.5,9,9,9.5,9.5,9,.,5,7,.,.,.,.,8,.,9.5,.
Hobbs & Shaw,2019,4,.,3.5,.,.,3,.,5,.,.,.,.,.,.,5.5,.,.,.
Master and Commander,2003,9.5,.,9.5,9.5,7,9,7,.,.,.,8.5,.,.,.,7,.,.,.
Peanut Butter Falcon,2019,9,9,8.5,8.5,8,8.5,9,.,9,.,8.5,.,.,.,.,.,.,.
In Bruges,2008,8.5,.,8,8,.,7,9,.,.,8,.,.,.,.,.,.,.,.
Captain America: The First Avenger,2011,7,.,6.5,7,.,6,.,.,8,.,.,.,.,.,7,8,.,8
The Avengers,2012,6.5,.,7,8.5,7,6.5,.,7,8,.,.,.,.,.,7,.,.,.
Captain America: The Winter Soldier,2014,7,.,7.5,7,.,8,.,.,7,.,.,.,.,.,7,.,.,.
Avengers: Age of Ultron,2015,6,.,6,5,.,7,8,.,6,.,.,.,.,.,7,7,.,7.5
Captain America: Civil War,2016,.,.,8,8.5,.,8,7,.,7,.,.,.,.,.,7.5,.,.,.
Blinded by the Light,2019,.,.,7,.,8.5,.,8,.,.,.,.,.,.,.,.,.,.,.
300,2006,.,.,8,8,.,8,8,.,5,8,6.5,.,8.5,.,7,.,.,.
Ready or Not,2019,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Curious Case of Benjamin Button,2008,5,5.5,4,5,5,6.5,5,.,.,7,.,.,.,.,.,.,.,.
Instant Family,2018,7,.,7,.,.,7,8,8,6,.,.,.,.,.,.,.,.,.
IT: Chapter 2,2019,.,.,6,.,7,.,.,7.5,.,.,.,.,.,.,.,.,.,.
Hustlers,2019,.,.,6.5,.,.,.,5.5,.,.,.,.,.,.,.,6,.,.,.
Downton Abbey: the movie,2019,.,7,.,8,.,.,7,.,.,.,.,.,.,.,7,.,.,.
Tigers Are Not Afraid,2017,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Official Secrets,2019,7.5,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Where’d You Go, Bernadette",2019,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Dora and the Lost City of Gold,2019,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Good Boys,2019,.,.,.,.,.,.,7.5,.,8.5,.,.,.,.,.,.,.,.,.
Ad Astra,2019,7.5,7.5,8,6,7,6,8,.,.,7.75,.,.,.,.,7,.,.,.
The Signal,2014,.,.,.,.,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.
The Lobster,2015,.,.,5,.,6,.,6.5,.,.,7.5,.,.,.,.,.,.,.,.
Joker,2019,7.5,7.5,7.5,7,8.5,.,6,.,.,7,.,.,8.5,.,8.5,.,7,.
Diego Maradona,2019,9,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
El Camino,2019,7,7,8,8.5,6,8,7.5,.,.,8.5,7,.,7.5,.,.,.,.,.
Victoria,2015,.,.,8,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Parasite,2019,9,9,9,9.5,9,9,8,.,9,9,.,.,.,.,8,.,8.5,.
The Lighthouse,2019,.,.,7,.,.,.,7,.,.,8.5,.,.,.,.,.,.,7,.
Gemini Man,2019,.,6,5,.,.,6,.,.,.,.,.,.,6.5,.,6,.,5,.
JoJo Rabbit,2019,9,9,7.5,9,8.5,8,8.5,.,10,7.5,9.5,.,.,.,9,.,.,8
Honeyboy,2019,7.5,7.5,8,.,8,.,.,.,.,.,.,.,.,.,.,.,8,.
The Endless,2017,.,.,.,.,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.
The Irishman,2019,6,6,.,.,.,7,6,.,.,6,.,.,.,.,.,.,9,.
Ford v Ferrari,2019,8,8.5,7,7.5,7,8,8,9,7,8.5,.,.,.,.,.,8.5,9.5,8.5
Wild Rose,2019,8,.,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Frozen II,2019,3,4,.,4,.,3,3,5,7,4.5,5,.,.,.,.,6,.,2.5
War Horse,2011,.,.,.,.,.,7.5,8,.,.,.,.,.,.,.,.,.,.,.
The Art of Racing in the Rain,2019,.,.,.,.,.,5,4,.,.,.,.,.,.,.,.,.,.,.
Knives Out,2019,8,6.5,8.5,9,8.5,9.5,9,.,8,8.75,7,.,9.5,.,8.5,.,7,7
Dark Waters,2019,7.5,7,7.5,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.
Marriage Story,2019,7.5,.,7.5,.,7.5,.,7,.,7,.,.,.,.,.,.,.,9,.
Uncut Gems,2019,8.5,7.5,9,8.5,8.5,8,8,.,.,8.25,.,.,.,.,.,.,10,.
Star Wars: The Rise of Skywalker,2019,6,6.5,6,6.5,7,6,7,7,7,6,6.5,.,.,.,7.5,.,.,.
CATS,2019,.,4,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
Bombshell,2019,6.5,6,6.5,.,.,.,7,7,.,.,.,.,.,.,.,.,8.5,.
Jumanji: The Next Level,2019,.,.,5,.,.,6,5,5.5,5,6,.,.,.,.,.,.,.,.
A Beautiful Day in the Neighborhood,2019,8,8.5,8,7.5,8,6.5,7,.,.,.,7.5,.,.,.,.,.,.,.
Little Women,2019,8,9,8.5,9,9,8,9,.,.,NO,.,.,.,.,.,.,.,.
1917,2019,9,9,7,9,.,9.5,9,9.5,10,8.75,.,.,.,.,.,.,9.5,8
The Two Popes,2019,7.5,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,9.5,.
Anna,2019,.,.,6.5,.,.,.,.,9,9,.,.,.,.,.,.,.,.,.
Light of My Life,2019,7.5,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Queen,2006,8,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Batman Begins,2005,8,8,9,9.5,9,9,9,8.5,9,8.5,.,.,.,.,9,7,9,8
Cinderella Man,2005,8.5,.,.,7.5,.,8,7,.,.,8,.,.,.,.,.,.,.,.
The 40-Year-Old Virgin,2005,8,.,9,9,9,7,9,.,8,6.5,7.5,.,.,.,7.5,.,.,.
Munich,2005,.,.,.,7.5,.,8,7,.,.,.,.,.,.,.,.,.,.,.
King Kong,2005,7.5,7,7.5,8,.,5,.,7,.,7,.,.,.,.,.,.,9,.
Walk the Line,2005,7.5,7.5,8,9,8,7,7.5,8,7,7.5,.,.,.,.,6.5,.,.,.
Kingdom of Heaven,2005,9,.,8,.,.,7,.,.,.,.,.,.,.,.,7,.,.,.
The Prestige,2006,7.5,.,8,9.5,9,9.5,8.5,.,.,6.5,.,.,9.5,.,9.5,.,.,.
The Departed,2006,9,9,9,9.5,8,9.5,8.5,8,8,8.5,9,.,.,.,9,.,8,.
Blood Diamond,2006,7,.,.,7,.,7,.,7.5,.,7,7.5,.,.,.,.,.,.,.
Little Miss Sunshine,2006,8.5,8,8.5,8.5,8,.,8,.,7,7.5,.,.,.,.,8,.,.,.
Letters from Iwo Jima,2006,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.
The Illusionist,2006,9,.,7.5,7.5,7,7.5,.,.,.,8.75,.,.,.,.,.,.,.,.
Stranger Than Fiction,2006,7.5,.,7.5,8,8,8,8,7,.,8,.,.,.,.,7.5,.,.,.
The Da Vinci Code,2006,6,7,5.5,5,6,6,5,7,7,6,.,.,.,.,7,.,7,.
There Will Be Blood,2007,8.5,7.5,10,10,10,8.5,9,.,9,9,8,.,.,.,8,.,8,.
No Country for Old Men,2007,7.5,No,9,9,10,10,8.5,.,8,9.5,.,.,.,.,7.5,.,9.5,.
Juno,2007,6.5,.,7.5,7.5,7,7,8,8,8,6,7.5,.,.,.,7.5,.,.,.
I Am Legend,2007,7.5,7.5,7,7,7,6,6.5,8,.,7.5,8,.,.,.,7,.,.,.
The Dark Knight,2008,10,8.5,8.5,9.5,8.5,9,9,9,9,9,8,.,.,.,8,.,.,10
Wall-E,2008,8,8,9,8,9,8,9,8,8,9.5,.,.,9,.,8,.,.,.
Gran Torino,2008,7,.,.,5,.,7,6.5,.,.,7,8,.,.,.,7,.,.,.
Australia,2008,6.5,7.5,5,8,7,7,5,.,.,.,.,.,.,.,7,.,.,.
Slumdog Millionaire,2008,9,8,9,9,8,8,9,9,8,9,8.5,.,.,.,7,.,9.5,.
Iron Man,2008,8,8,8,8.5,8.5,8.5,9,8,8,7,.,.,8,.,.,.,.,.
Avatar,2009,7.5,7.5,8,8,6,7,8,7.5,7,8,7.5,.,.,.,7.5,.,.,9
The Blind Side,2009,7,.,7,7,7,6.5,6,7,6,.,8,.,.,.,.,.,8,.
Up,2009,7.5,.,8,7.5,9,8,8.5,7.5,8,8.5,7.5,.,.,.,8,.,.,.
Up In The Air,2009,7.5,.,8,8,8,7,9,.,6,.,.,.,.,.,.,.,.,.
Sherlock Holmes,2009,7.5,7.5,6.5,6,6,6,6,7.5,8,.,.,.,.,.,7,.,.,.
Inception,2010,8.5,9,8,8.5,7.5,8.5,9,9,7,8,8.5,.,10,.,9,.,7,.
The King's Speech,2010,8,9,7.5,8.5,9,7,7,8,6,8,8,.,.,.,8,.,7.5,.
Tangled,2010,6.5,7,7,8,.,7.5,7,8,8,6,8,.,9,.,7,.,.,.
127 Hours,2010,8,6,8.5,8.5,8,.,7,8,7,8.5,.,.,.,.,.,.,.,.
The Town,2010,7.5,.,7,7,.,.,8,.,.,7,.,.,.,.,.,.,.,.
Inside Job,2010,9,.,8.5,8.5,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.
Get Low,2010,7.5,7.5,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.
The Descendants,2011,7.5,.,8,7.5,7.5,8,8.5,.,.,8,.,.,.,.,.,.,.,.
Hugo,2011,7,.,.,5.5,.,7,6,.,6,6.5,.,.,.,.,.,6.5,.,8
Super 8,2011,7,.,5.5,6.5,5,7,6,7,.,7,.,.,.,.,9,.,.,.
The Help,2011,8,8,7,.,.,7,.,8,7,.,.,.,.,.,8,.,.,.
The Artist,2011,8,8,7,7,7.5,7,8,.,.,.,.,.,.,.,.,.,7,.
Moneyball,2011,7.5,8,8,9.5,9.5,7.5,8,8,7,7,.,.,.,.,7,.,10,.
Midnight in Paris,2011,8,.,8.5,8,10,.,9,.,6,.,.,.,.,.,9,.,.,.
The Dark Knight Rises,2012,8.5,.,6.5,6,6,7,7,8,9,8.5,.,.,.,.,7.5,.,.,7
Silver Linings Playbook,2012,8,7,8.5,7.5,8,8,8,8,6,7,.,.,7.5,.,.,.,.,.
The Hunger Games,2012,5,7.5,5.5,6.5,.,7,6,7,6,5.5,7.5,.,.,.,8,8,.,8
American Hustle,2013,.,.,6,7,7,7,6,5.5,.,.,.,.,.,.,.,.,.,.
Dallas Buyers Club,2013,.,.,7.5,7,.,.,7,.,7,.,.,.,7,.,.,.,.,.
Enough Said,2013,8,8,7.5,8,.,.,.,.,-,.,.,.,.,.,.,.,.,.
Gone Girl,2014,7.5,7,8,9,7,8,7.5,.,7,.,6.5,.,.,.,.,.,.,.
Eternal Sunshine of the Spotless Mind,2004,8.5,8,8.5,9.5,10,.,8.5,.,7,7,.,.,7.5,.,10,.,.,.
The Terminal,2004,6,6.5,6,6.5,6,6,6,.,.,6.5,.,.,7,.,.,.,6,.
Sideways,2004,9.5,9,9,7.5,7,7,9,.,8,8,.,.,.,.,.,no,.,no
Collateral,2004,7.5,.,8.5,8.5,8.5,8,9,.,.,.,.,.,.,.,.,.,.,.
Hotel Rwanda,2004,8,.,.,7.5,.,7.5,8,8.5,.,.,.,.,.,.,.,.,.,.
The Passion of the Christ,2004,7.5,.,7.5,7.5,.,7,.,.,.,.,.,.,.,.,8.5,.,.,.
Ray,2004,7,7,.,.,7,7,.,.,.,7.25,.,.,.,.,.,.,.,.
The Aviator,2004,7.5,8,7.5,8,8,9,8,8,.,7.5,.,.,.,.,7,.,9,.
Millions,2004,8,.,.,8,.,7,7.5,.,.,.,.,.,.,.,.,.,.,.
Big Fish,2003,8,8,7,5.5,6.5,7,8,7,7,7,.,.,.,.,8.5,.,.,.
School of Rock,2003,7.5,.,9,8.5,8,7,8,9,7,9,8.5,.,.,.,8,.,.,.
Open Range,2003,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Gangs of New York,2002,9.5,8,8,8,.,8,7.5,7,8,8,.,.,.,.,8,.,.,.
Just Mercy,2020,7.5,7.5,.,.,.,7.5,.,.,8,.,.,.,.,.,.,.,.,.
The Aeronauts,2019,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.
Minority Report,2002,8.5,9,9,9.5,9,8.5,9,8.5,.,8,5,.,9,.,7.5,.,.,.
Catch Me If You Can,2002,8,8.5,8,8,8,8,9,8.5,7,8,7,.,8,.,7,7.5,8,8
The Hours,2002,.,.,.,.,.,6,.,.,.,9.5,.,.,.,.,.,.,.,.
Harold & Kumar Go to White Castle,2004,5.5,.,7,.,.,.,8,.,6,8,.,.,.,.,.,.,.,.
Idiocracy,2006,7,.,7,.,.,.,7,8,8,8.5,.,.,.,.,6.5,.,.,.
The Truman Show,1998,8.5,9.5,8,9.5,.,8,9,8.5,7,10,.,.,.,.,9,7.5,8,8
The Matrix,1999,10,9,10,9.5,10,10,9,10,6,10,8.5,.,.,.,9.5,7,.,8.5
Fight Club,1999,8.5,.,10,8.5,9.5,9,10,9,8,10,8.5,.,.,.,9.5,.,.,.
Indiana Jones and the Kingdom of the Crystal Skull,2008,4,7.5,3,3,2,4,5,6,1,5,.,.,6,.,7.5,5.5,.,6.5
A.I. Artificial Intelligence,2001,6,8,6,6,.,6.5,8,6,5,6,.,.,7,.,.,.,.,.
War of the Worlds,2005,.,.,6,6,4,7,8,.,.,.,.,.,1,.,.,.,.,.
The Adventures of Tintin,2011,.,.,.,.,.,7,4,.,.,.,.,.,.,.,.,.,.,.
Lincoln,2012,7.5,8,.,5,.,7,8,.,7,.,.,.,.,.,7,.,.,.
The Hateful Eight,2015,5,.,7,8,8,5,7,6,.,.,9,.,.,.,7.5,.,9.5,.
Kill Bill: Vol 1,2003,.,.,8,6,6,8,7,.,7,7,8,.,8,.,8,.,.,.
Kill Bill: Vol 2,2004,.,.,7,6,6,7,7,.,7,7,.,.,8,.,8,.,.,.
Back to the Future,1985,10,10,10,10,10,10,10,10,9,10,9,.,.,.,10,9,9.5,9.5
Saving Private Ryan,1998,9.5,9,8.5,8,8,9.5,9,9,10,8,9,.,9,.,.,no,.,9
The Gentlemen,2020,6.5,6.5,8,8.5,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Pure Luck,1991,6,7,7,.,.,.,8,7,7,7.75,.,.,.,.,.,7.5,.,7.5
The Sixth Sense,1999,10,10,10,10,9,9,9,9,9,9,9,.,.,.,9,7.5,8,8
One Child Nation,2019,7,7,.,.,.,.,7,.,.,.,.,.,.,.,.,.,9,.
Bad Boys for Life,2020,4,5,5,.,.,.,.,5.5,.,.,.,.,.,.,.,.,.,.
The Photograph,2020,.,5,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sonic the Hedgehog,2020,.,6.5,6,.,.,6.5,.,7.5,4,.,.,.,.,.,.,.,.,.
American Psycho,2000,.,.,8.5,.,.,.,8.5,.,.,.,.,.,.,.,7.5,.,5.5,.
Portrait of a Lady on Fire,2019,8,.,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Harriet,2020,6,.,.,.,.,.,.,.,8,.,.,.,.,.,.,.,.,.
Maiden,2018,.,.,.,9.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rescue Dawn,2006,9,9,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The King of Kong: A Fistful of Quarters,2007,9,7.5,9,9,.,8,9,.,.,7.5,.,.,.,.,9,.,.,.
New York Doll,2005,8,7,8,8,.,8,9,7.5,.,7,.,.,.,.,.,.,.,.
The Invisible Man,2020,7.5,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,7,.
Emma,2020,7,8,7.5,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Ferris Bueller's Day Off,1986,9,10,9.5,9.5,.,10,9.5,9,9,9.5,9.5,.,.,.,8.5,9,.,9
Old School,2003,7,.,8,8.5,.,7,8,.,7,6,.,.,.,.,7.5,.,.,.
Anchorman: The Legend of Ron Burgundy,2004,9,8,9.5,7.5,.,6,9,7,8,8,.,.,.,.,9,.,.,.
Anchorman 2: The Legend Continues,2013,5.5,6.5,6,6.5,.,.,6,.,4,6,.,.,.,.,5,.,.,.
Elf,2003,6.5,8,8.5,8.5,.,5,8.5,8,8,7.5,7,.,9.5,.,7.5,8.5,.,8
Shrek,2001,9,9,8,8,.,7,7,7,4,7,7.5,.,.,.,7,10,.,10
Mulholland Drive,2001,5.5,.,.,.,.,.,8,.,.,8.25,.,.,.,.,7.5,.,7,.
A Beautiful Mind,2001,8,8,7.5,7.5,.,7,7,8,7,7.5,8,.,.,.,7,.,8.5,.
Ocean's 11,2001,8,8,9,9,.,7.5,9,8.5,8,8,.,.,.,.,7,.,9,.
Black Hawk Down,2001,7.5,7,7,7.5,.,7.5,7,.,6,7,.,.,.,.,.,.,.,.
The Others,2001,8,.,8,7.5,.,7,7,.,.,.,.,.,.,.,7.5,.,8.5,.
The Royal Tenenbaums,2001,7.5,.,9.5,7,.,7,9.5,7,7,7.5,.,.,.,.,8.5,.,.,.
Training Day,2001,9,9,9.5,9.5,.,9,9,.,7,7.5,7,.,.,.,8,.,9,.
Legally Blonde,2001,7.5,8,8,8,.,4,7,7.5,6,7.5,.,.,.,.,.,7,8.5,.
Amélie,2001,8,.,8,9.5,.,.,7,.,8,.,.,.,.,.,8.5,.,.,.
Zoolander,2001,7,8,7,6.5,.,7,8,7,6,8,6,.,.,.,7,.,7,.
"Crouching Tiger, Hidden Dragon",2000,8.5,7.5,8.5,8,.,9.5,8,7,8,.,8,.,.,.,8,.,.,.
The Ring,2002,8,7.5,8.5,7.5,.,6.5,7,7.5,.,8,6.5,.,.,.,7.5,.,8,.
The Count of Monte Cristo,2002,7.5,7.5,6.5,7.5,.,7.5,6,.,6,.,6.5,.,.,.,9,7.5,.,.
About a Boy,2002,8,8,8,8.5,.,.,8.5,8,7,8,.,.,.,.,.,.,.,.
My Big Fat Greek Wedding,2002,7.5,7,6.5,7.5,.,7.5,7,8,8,8,7.5,.,.,.,7,.,.,.
Chicago,2002,6.5,7,6,6,.,.,4,.,.,7.5,.,.,.,.,.,.,.,.
We Were Soldiers,2002,6.5,7,.,.,.,7.5,6,.,.,.,.,.,.,.,7.5,.,.,.
Jackass: The Movie,2002,7.5,.,8.5,8.5,.,.,8.5,.,9,.,.,.,.,.,7,.,.,.
The Whale Rider,2002,7.5,7,7.5,7,.,.,8,.,6,.,7,.,.,.,.,.,.,.
Fever Pitch,2005,7.5,7,7,7,.,7,8,7,7,7,7,.,.,.,.,.,.,.
Grizzly Man,2005,9,7,8,8,.,8.5,7.5,.,.,8,.,.,.,.,.,.,.,.
The Island,2005,6,7,7,.,.,.,7.5,6,.,6.5,.,.,.,.,7.5,.,.,.
March of the Penguins,2005,8.5,7,8,7.5,.,.,8,.,.,.,8,.,.,.,.,.,.,.
Night at the Museum,2006,7,7.5,7,.,.,6,7,7,7,7,6,.,.,.,6,.,.,.
The Devil Wears Prada,2006,8,8,8,8,.,7,7.5,7.5,6,7,.,.,.,.,.,.,8.5,.
Rocky Balboa,2006,6.5,7,7,7.5,.,7,.,.,.,.,.,.,.,.,6,.,.,.
United 93,2006,8,7.5,.,8.5,.,7.5,6,8.5,.,.,.,.,.,.,.,.,.,.
The Last King of Scotland,2006,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,.
